#{"t_start": 1637674807.0757542, "env_id": null}
r,l,t,total_asset,last_account,action_summary
3.828682,249,29.054049,138286.8214774954,"{'Cash': 52337.73140149539, 'WMT': 583.0, 'AAPL': 0.0, 'MMM': 507.0}","{'WMT': {'buy': 64, 'sell': 66, 'no-action': 119}, 'AAPL': {'buy': 77, 'sell': 74, 'no-action': 98}, 'MMM': {'buy': 63, 'sell': 68, 'no-action': 118}}"
3.226492,249,29.358701,132264.91870561926,"{'Cash': 132264.91870561926, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 64, 'sell': 64, 'no-action': 121}, 'AAPL': {'buy': 60, 'sell': 56, 'no-action': 133}, 'MMM': {'buy': 56, 'sell': 58, 'no-action': 135}}"
3.475035,249,29.657262,134750.34821245712,"{'Cash': 3.616219457129773, 'WMT': 1993.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 68, 'sell': 70, 'no-action': 111}, 'AAPL': {'buy': 63, 'sell': 70, 'no-action': 116}, 'MMM': {'buy': 79, 'sell': 78, 'no-action': 92}}"
0.127889,249,30.007314,101278.89017141465,"{'Cash': 9.74190470046139, 'WMT': 461.0, 'AAPL': 1.0, 'MMM': 763.0}","{'WMT': {'buy': 62, 'sell': 73, 'no-action': 114}, 'AAPL': {'buy': 63, 'sell': 62, 'no-action': 124}, 'MMM': {'buy': 71, 'sell': 56, 'no-action': 122}}"
1.298077,249,31.517771,112980.76804380957,"{'Cash': 24594.41826180957, 'WMT': 429.0, 'AAPL': 0.0, 'MMM': 647.0}","{'WMT': {'buy': 65, 'sell': 71, 'no-action': 113}, 'AAPL': {'buy': 65, 'sell': 65, 'no-action': 119}, 'MMM': {'buy': 65, 'sell': 61, 'no-action': 123}}"
2.746173,249,31.844991,127461.73027814104,"{'Cash': 9.298938575441767, 'WMT': 1.0, 'AAPL': 68.0, 'MMM': 1334.0}","{'WMT': {'buy': 65, 'sell': 69, 'no-action': 115}, 'AAPL': {'buy': 53, 'sell': 55, 'no-action': 141}, 'MMM': {'buy': 69, 'sell': 62, 'no-action': 118}}"
3.483059,249,32.195241,134830.5939901678,"{'Cash': 42.104724167816585, 'WMT': 423.0, 'AAPL': 0.0, 'MMM': 1157.0}","{'WMT': {'buy': 80, 'sell': 80, 'no-action': 89}, 'AAPL': {'buy': 65, 'sell': 62, 'no-action': 122}, 'MMM': {'buy': 79, 'sell': 68, 'no-action': 102}}"
1.341041,249,32.521894,113410.40777438543,"{'Cash': 50.165991858819325, 'WMT': 671.0, 'AAPL': 523.0, 'MMM': 326.0}","{'WMT': {'buy': 75, 'sell': 73, 'no-action': 101}, 'AAPL': {'buy': 70, 'sell': 72, 'no-action': 107}, 'MMM': {'buy': 63, 'sell': 61, 'no-action': 125}}"
2.369643,249,32.858139,123696.42941292934,"{'Cash': 76.40951292933914, 'WMT': 718.0, 'AAPL': 0.0, 'MMM': 818.0}","{'WMT': {'buy': 72, 'sell': 73, 'no-action': 104}, 'AAPL': {'buy': 69, 'sell': 66, 'no-action': 114}, 'MMM': {'buy': 59, 'sell': 57, 'no-action': 133}}"
4.541598,249,33.168546,145415.97679832828,"{'Cash': 24.97566632827511, 'WMT': 1564.0, 'AAPL': 0.0, 'MMM': 432.0}","{'WMT': {'buy': 74, 'sell': 60, 'no-action': 115}, 'AAPL': {'buy': 63, 'sell': 71, 'no-action': 115}, 'MMM': {'buy': 59, 'sell': 52, 'no-action': 138}}"
2.817334,249,33.547547,128173.33502177654,"{'Cash': 52.38312677655267, 'WMT': 1895.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 67, 'sell': 63, 'no-action': 119}, 'AAPL': {'buy': 67, 'sell': 61, 'no-action': 121}, 'MMM': {'buy': 58, 'sell': 66, 'no-action': 125}}"
4.20472,249,33.956973,142047.20186189684,"{'Cash': 58.51149689684098, 'WMT': 1101.0, 'AAPL': 0.0, 'MMM': 736.0}","{'WMT': {'buy': 63, 'sell': 64, 'no-action': 122}, 'AAPL': {'buy': 59, 'sell': 58, 'no-action': 132}, 'MMM': {'buy': 53, 'sell': 52, 'no-action': 144}}"
2.152081,249,34.326258,121520.80779016187,"{'Cash': 25.635993161879014, 'WMT': 1797.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 67, 'sell': 56, 'no-action': 126}, 'AAPL': {'buy': 59, 'sell': 58, 'no-action': 132}, 'MMM': {'buy': 54, 'sell': 59, 'no-action': 136}}"
5.139358,249,35.661328,151393.5771727244,"{'Cash': 16.281167050998192, 'WMT': 0.0, 'AAPL': 477.0, 'MMM': 1271.0}","{'WMT': {'buy': 67, 'sell': 63, 'no-action': 119}, 'AAPL': {'buy': 61, 'sell': 59, 'no-action': 129}, 'MMM': {'buy': 60, 'sell': 60, 'no-action': 129}}"
1.159,249,35.980215,111589.99610011363,"{'Cash': 23426.554796113633, 'WMT': 1304.0, 'AAPL': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 71, 'sell': 69, 'no-action': 109}, 'AAPL': {'buy': 60, 'sell': 57, 'no-action': 132}, 'MMM': {'buy': 54, 'sell': 59, 'no-action': 136}}"
5.547444,249,36.281835,155474.44296276147,"{'Cash': 3.4722370472772752, 'WMT': 2217.0, 'AAPL': 1.0, 'MMM': 60.0}","{'WMT': {'buy': 62, 'sell': 59, 'no-action': 128}, 'AAPL': {'buy': 43, 'sell': 40, 'no-action': 166}, 'MMM': {'buy': 50, 'sell': 52, 'no-action': 147}}"
4.962153,249,36.603432,149621.53488323087,"{'Cash': 8.422854230847406, 'WMT': 2107.0, 'AAPL': 0.0, 'MMM': 78.0}","{'WMT': {'buy': 61, 'sell': 43, 'no-action': 145}, 'AAPL': {'buy': 48, 'sell': 49, 'no-action': 152}, 'MMM': {'buy': 43, 'sell': 43, 'no-action': 163}}"
2.789567,249,36.929652,127895.66694699092,"{'Cash': 24.84563799092939, 'WMT': 1556.0, 'AAPL': 0.0, 'MMM': 247.0}","{'WMT': {'buy': 65, 'sell': 61, 'no-action': 123}, 'AAPL': {'buy': 60, 'sell': 54, 'no-action': 135}, 'MMM': {'buy': 56, 'sell': 52, 'no-action': 141}}"
5.574359,249,37.21433,155743.58806029832,"{'Cash': 66.77623629834852, 'WMT': 2027.0, 'AAPL': 0.0, 'MMM': 203.0}","{'WMT': {'buy': 58, 'sell': 53, 'no-action': 138}, 'AAPL': {'buy': 47, 'sell': 47, 'no-action': 155}, 'MMM': {'buy': 53, 'sell': 50, 'no-action': 146}}"
