#{"t_start": 1637497800.00389, "env_id": null}
r,l,t,total_asset,last_account,action_summary
53.650192,687,286.145867,636501.9246130001,"{'Cash': 532806.7440010001, 'WMT': 0.0, 'ABBV': 929.0, 'MMM': 317.0}","{'WMT': {'buy': 72, 'sell': 75, 'no-action': 540}, 'ABBV': {'buy': 145, 'sell': 149, 'no-action': 393}, 'MMM': {'buy': 135, 'sell': 107, 'no-action': 445}}"
58.17673,687,290.626033,681767.2980699998,"{'Cash': 638606.5973439998, 'WMT': 0.0, 'ABBV': 726.0, 'MMM': 0.0}","{'WMT': {'buy': 83, 'sell': 83, 'no-action': 521}, 'ABBV': {'buy': 153, 'sell': 145, 'no-action': 389}, 'MMM': {'buy': 120, 'sell': 92, 'no-action': 475}}"
58.762074,687,295.022607,687620.7429839999,"{'Cash': 114.93305399987185, 'WMT': 10283.0, 'ABBV': 0.0, 'MMM': 353.0}","{'WMT': {'buy': 65, 'sell': 57, 'no-action': 565}, 'ABBV': {'buy': 135, 'sell': 131, 'no-action': 421}, 'MMM': {'buy': 119, 'sell': 82, 'no-action': 486}}"
59.913524,687,299.443864,699135.2433609999,"{'Cash': 46.562013999864575, 'WMT': 11347.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 70, 'sell': 61, 'no-action': 556}, 'ABBV': {'buy': 129, 'sell': 114, 'no-action': 444}, 'MMM': {'buy': 103, 'sell': 85, 'no-action': 499}}"
61.951257,687,303.882093,719512.572881,"{'Cash': 30.981203000117603, 'WMT': 11678.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 74, 'sell': 64, 'no-action': 549}, 'ABBV': {'buy': 116, 'sell': 105, 'no-action': 466}, 'MMM': {'buy': 82, 'sell': 64, 'no-action': 541}}"
61.808403,687,308.264314,718084.0256750003,"{'Cash': 42256.36481000042, 'WMT': 10895.0, 'ABBV': 0.0, 'MMM': 30.0}","{'WMT': {'buy': 101, 'sell': 86, 'no-action': 500}, 'ABBV': {'buy': 142, 'sell': 132, 'no-action': 413}, 'MMM': {'buy': 101, 'sell': 90, 'no-action': 496}}"
60.52521,687,312.662558,705252.0967579997,"{'Cash': 12.965815999748884, 'WMT': 11087.0, 'ABBV': 0.0, 'MMM': 145.0}","{'WMT': {'buy': 87, 'sell': 71, 'no-action': 529}, 'ABBV': {'buy': 148, 'sell': 135, 'no-action': 404}, 'MMM': {'buy': 112, 'sell': 92, 'no-action': 483}}"
63.4304,687,317.048547,734304.0047700002,"{'Cash': 17.884119000314683, 'WMT': 11015.0, 'ABBV': 0.0, 'MMM': 364.0}","{'WMT': {'buy': 82, 'sell': 64, 'no-action': 541}, 'ABBV': {'buy': 133, 'sell': 129, 'no-action': 425}, 'MMM': {'buy': 105, 'sell': 85, 'no-action': 497}}"
60.479829,687,321.496625,704798.2933009991,"{'Cash': 41.49186199918495, 'WMT': 11439.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 82, 'sell': 67, 'no-action': 538}, 'ABBV': {'buy': 117, 'sell': 111, 'no-action': 459}, 'MMM': {'buy': 96, 'sell': 74, 'no-action': 517}}"
62.686359,687,325.837004,726863.5944499999,"{'Cash': 50.41265299981569, 'WMT': 11797.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 84, 'sell': 62, 'no-action': 541}, 'ABBV': {'buy': 128, 'sell': 127, 'no-action': 432}, 'MMM': {'buy': 98, 'sell': 81, 'no-action': 508}}"
